ds,y
2015-01-02,4.1518
2015-01-05,4.12838
2015-01-06,4.1030999999999995
2015-01-07,4.0491399999999995
2015-01-08,4.05884
2015-01-09,4.02208
2015-01-12,4.02736
2015-01-13,4.01422
2015-01-14,3.9894999999999996
2015-01-15,3.97644
2015-01-16,3.97346
2015-01-19,3.97732
2015-01-20,3.9831600000000003
2015-01-21,3.9265
2015-01-22,3.905
2015-01-23,3.87592
2015-01-26,3.90322
2015-01-27,3.9109000000000003
2015-01-28,3.9189599999999998
2015-01-29,3.92712
2015-01-30,4.00724
2015-02-02,4.04582
2015-02-03,4.0822400000000005
2015-02-04,4.1327799999999995
2015-02-05,4.1837599999999995
2015-02-06,4.22774
2015-02-09,4.24282
2015-02-10,4.27588
2015-02-11,4.36622
2015-02-12,4.39686
2015-02-13,4.371720000000001
2015-02-18,4.3875
2015-02-19,4.4043399999999995
2015-02-20,4.41064
2015-02-23,4.44332
2015-02-24,4.42474
2015-02-25,4.43692
2015-02-26,4.43546
2015-02-27,4.4437
2015-03-02,4.40684
2015-03-03,4.46436
2015-03-04,4.5605400000000005
2015-03-05,4.56168
2015-03-06,4.5862
2015-03-09,4.68394
2015-03-10,4.72068
2015-03-11,4.66922
2015-03-12,4.655679999999999
2015-03-13,4.76052
2015-03-16,4.7738
2015-03-17,4.82246
2015-03-18,4.77088
2015-03-19,4.82168
2015-03-20,4.82612
2015-03-23,4.74696
2015-03-24,4.66124
2015-03-25,4.6931199999999995
2015-03-26,4.74032
2015-03-27,4.80494
2015-03-30,4.82262
2015-03-31,4.755979999999999
2015-04-01,4.67318
2015-04-02,4.6707
2015-04-06,4.62744
2015-04-07,4.6445799999999995
2015-04-08,4.60642
2015-04-09,4.49618
2015-04-10,4.50958
2015-04-13,4.54394
2015-04-14,4.56348
2015-04-15,4.5344
2015-04-16,4.51284
2015-04-17,4.5712600000000005
2015-04-20,4.54438
2015-04-22,4.5387
2015-04-23,4.52138
2015-04-24,4.50934
2015-04-27,4.443099999999999
2015-04-28,4.433
2015-04-29,4.53686
2015-04-30,4.59626
2015-05-04,4.651300000000001
2015-05-05,4.64786
2015-05-06,4.63808
2015-05-07,4.627879999999999
2015-05-08,4.6259999999999994
2015-05-11,4.69694
2015-05-12,4.76108
2015-05-13,4.733960000000001
2015-05-14,4.73822
2015-05-15,4.71214
2015-05-18,4.72572
2015-05-19,4.69694
2015-05-20,4.7207799999999995
2015-05-21,4.74694
2015-05-22,4.7533
2015-05-25,4.82744
2015-05-26,4.82362
2015-05-27,4.86632
2015-05-28,4.85366
2015-05-29,4.85606
2015-06-01,4.83742
2015-06-02,4.81468
2015-06-03,4.77854
2015-06-05,4.83104
2015-06-08,4.76594
2015-06-09,4.75394
2015-06-10,4.78868
2015-06-11,4.88272
2015-06-12,4.836740000000001
2015-06-15,4.826
2015-06-16,4.85894
2015-06-17,4.871840000000001
2015-06-18,4.84254
2015-06-19,4.88936
2015-06-22,4.86788
2015-06-23,4.88762
2015-06-24,4.84924
2015-06-25,4.8803399999999995
2015-06-26,4.92032
2015-06-29,4.94274
2015-06-30,4.88342
2015-07-01,4.874899999999999
2015-07-02,4.86694
2015-07-03,4.8776
2015-07-06,4.90098
2015-07-07,4.9111199999999995
